Timestamp,"At work, I IDENTIFY as....","On a REGULAR basis, my primary team includes...",I MOSTLY work...,I MOSTLY meet with my primary team...,My ROLE in my primary team's meetings is generally...,I meet with my primary work team...,My primary team's meetings START on time (within 7min of scheduled time)...,"Before our team meetings officially start, I usually....","On a scale of 1-5, I enjoy pre-meeting preamble....","On a scale of 1-5, I feel like I am USUALLY my full, candid self during team meetings...","On a scale of 1-5, I feel like my teammates are USUALLY fully candid with each other during team meetings...",Our meetings END on time...,"On a scale of 1-5, how satisfied are you with your regular work meetings?","Do you ever share casual time with your teammate(s)? [select all]

AM coffee/beverage","Do you ever share casual time with your teammate(s)? [select all]

breakfast","Do you ever share casual time with your teammate(s)? [select all]

lunch","Do you ever share casual time with your teammate(s)? [select all]

PM coffee","Do you ever share casual time with your teammate(s)? [select all]

dinner","Do you ever share casual time with your teammate(s)? [select all]

happy hour",How often do you share casual time with your teammate(s)?,"On a scale of 1-5, I enjoy sharing casual time with my teammate(s)..."
2/17/2016 9:37:37,male,2,at home,by video,I am not a meeting leader but I DO help set the agenda,6,3,sit silently and/or continue working individually,3,3,4,3,4,0,0,0,0,0,0,3,4
2/17/2016 10:19:22,male,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,4,sit silently and/or continue working individually,3,5,5,4,5,0,0,0,0,0,0,2,5
2/17/2016 10:36:40,male,1,wherever I want,"in-person at public locations (restaurants, coffee shops, etc.)",I am one of several meeting leaders,6,4,chit-chat about non-business topics,5,4,4,4,4,0,0,0,0,0,0,5,4
2/17/2016 10:58:18,female,2,onsite at my organization's office,in-person at my organization's office,I am the only meeting leader,6,5,Chit chat about all sorts of things,4,4,4,5,4,0,0,0,0,0,0,1,5
2/17/2016 11:25:03,female,1,wherever I want,IM / Slack then conference calls,I am not a meeting leader but I DO help set the agenda,7,4,chit-chat about non-business topics,5,5,5,4,4,0,0,0,0,0,0,2,5
2/17/2016 11:39:03,female,3,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,4,4,sit silently and/or continue working individually,2,3,3,4,2,0,0,0,0,0,0,2,3
2/17/2016 11:43:58,male,3,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,6,2,sit silently and/or continue working individually,2,5,4,4,3,0,0,0,0,0,0,3,4
2/17/2016 12:00:34,female,3,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,5,4,sit silently and/or continue working individually,3,1,1,4,1,0,0,0,0,0,0,1,5
2/17/2016 12:07:01,female,1,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,6,3,chit-chat about non-business topics,3,3,2,3,2,0,0,0,0,0,0,1,3
2/17/2016 12:16:34,male,1,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,8,5,chit-chat about business topics,4,5,4,4,,0,0,0,0,0,0,3,4
2/17/2016 12:18:47,male,2,at home,by phone or conference call,I am not a meeting leader and I DO NOT help set the agenda,6,3,chit-chat about non-business topics,5,4,4,4,4,0,0,0,0,0,0,5,5
2/17/2016 12:21:05,female,2,at home,by video,I am one of several meeting leaders,7,4,chit-chat about non-business topics,5,4,4,2,5,0,0,0,0,0,0,5,5
2/17/2016 12:34:50,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,6,5,sit silently and/or continue working individually,2,3,3,4,3,0,0,0,0,0,0,7,2
2/17/2016 12:35:41,female,3,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,6,4,sit silently and/or continue working individually,3,2,3,5,3,0,0,0,0,0,0,2,4
2/17/2016 12:38:50,male,2,onsite (65%) and offsite (35%),"onsite (65%), offsite (client office 35%)",I am one of several meeting leaders,8,5,"blend of business and non-business, depending on priorities, project status, etc. ",4,4,3,4,3,0,0,0,0,0,0,3,4
2/17/2016 12:45:07,male,2,wherever I want,by video,I am not a meeting leader but I DO help set the agenda,6,4,chit-chat about non-business topics,4,2,1,3,2,0,0,0,0,0,0,3,3
2/17/2016 12:49:47,male,4,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,5,5,chit-chat about non-business topics,3,3,2,4,4,0,0,0,0,0,0,4,4
2/17/2016 12:50:46,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,5,3,chit-chat about non-business topics,4,4,3,4,3,0,0,0,0,0,0,5,3
2/17/2016 12:52:43,male,3,at home,by phone or conference call,I am not a meeting leader and I DO NOT help set the agenda,6,5,chit-chat about non-business topics,4,5,5,4,4,0,0,0,0,0,0,4,4
2/17/2016 12:55:20,female,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,8,4,chit-chat about business topics,3,3,3,4,5,0,0,0,0,0,0,2,5
2/17/2016 12:57:40,female,1,wherever I want,in-person at my organization's office,I am one of several meeting leaders,5,3,chit-chat about business topics,3,4,4,4,4,0,0,0,0,0,0,4,5
2/17/2016 12:58:37,male,2,onsite at my organization's office,in-person at my organization's office,I am the only meeting leader,5,5,sit silently and/or continue working individually,3,5,4,4,4,0,0,0,0,0,0,2,4
2/17/2016 13:04:12,male,2,onsite at my organization's office,by phone or conference call,I am one of several meeting leaders,8,4,chit-chat about business topics,3,4,2,3,3,0,0,0,0,0,0,2,4
2/17/2016 13:10:25,male,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,4,chit-chat about non-business topics,2,4,4,4,3,0,0,0,0,0,0,4,4
2/17/2016 13:10:49,male,1,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,8,4,chit-chat about non-business topics,2,4,3,4,2,0,0,0,0,0,0,3,4
2/17/2016 13:15:54,female,2,at home,by video,I am one of several meeting leaders,6,3,chit-chat about non-business topics,5,4,4,2,3,0,0,0,0,0,0,8,5
2/17/2016 13:18:31,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,8,5,sit silently and/or continue working individually,4,3,3,5,4,0,0,0,0,0,0,5,4
2/17/2016 13:43:04,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,4,5,sit silently and/or continue working individually,3,1,2,4,3,0,0,0,0,0,0,5,3
2/17/2016 13:52:54,female,1,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,8,4,chit-chat about non-business topics,4,5,5,4,5,0,0,0,0,0,0,4,5
2/17/2016 13:55:23,male,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,8,4,chit-chat about non-business topics,4,4,4,4,4,0,0,0,0,0,0,2,5
2/17/2016 13:58:58,male,1,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,4,sit silently and/or continue working individually,3,4,4,4,4,0,0,0,0,0,0,1,4
2/17/2016 14:02:55,female,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,8,4,sit silently and/or continue working individually,4,4,2,4,3,0,0,0,0,0,0,5,5
2/17/2016 14:03:42,female,2,offsite at client offices,in-person at my organization's office,There are no assigned meeting leaders,8,5,chit-chat about non-business topics,4,5,5,4,4,0,0,0,0,0,0,1,5
2/17/2016 14:05:47,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,4,chit-chat about business topics,2,4,2,2,3,0,0,0,0,0,0,6,3
2/17/2016 14:17:28,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,5,"If I'm very busy, I will work silently. If I'm not, I'll make time to chat.",3,4,4,5,4,0,0,0,0,0,0,4,3
2/17/2016 14:23:21,female,2,wherever I want,by phone or conference call,I am the only meeting leader,8,5,chit-chat about non-business topics,4,3,3,4,4,0,0,0,0,0,0,5,4
2/17/2016 14:24:15,male,3,outdoors,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,6,4,sit silently and/or continue working individually,3,5,5,4,3,0,0,0,0,0,0,2,4
2/17/2016 14:31:57,female,1,at home,by phone or conference call,There are no assigned meeting leaders,6,5,sit silently and/or continue working individually,5,5,5,4,4,0,0,0,0,0,0,5,5
2/17/2016 14:35:23,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,6,3,chit-chat about non-business topics,4,5,4,3,4,0,0,0,0,0,0,8,2
2/17/2016 14:49:43,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,7,4,chit-chat about non-business topics,4,4,3,4,4,0,0,0,0,0,0,2,4
2/17/2016 14:50:49,male,4,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,8,3,chit-chat about non-business topics,3,4,3,2,2,0,0,0,0,0,0,2,4
2/17/2016 15:13:05,male,1,at home,by phone or conference call,I am not a meeting leader but I DO help set the agenda,5,4,chit-chat about non-business topics,5,4,3,4,4,0,0,0,0,0,0,8,4
2/17/2016 15:14:22,male,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,3,sit silently and/or continue working individually,2,3,3,3,2,0,0,0,0,0,0,4,4
2/17/2016 15:14:25,male,2,at home,by video,There are no assigned meeting leaders,8,4,chit-chat about non-business topics,4,4,4,4,3,0,0,0,0,0,0,8,3
2/17/2016 15:18:37,male,3,onsite at my organization's office,in-person at my organization's office,I am the only meeting leader,8,5,chit-chat about business topics,3,4,3,4,4,0,0,0,0,0,0,6,5
2/17/2016 15:30:59,female,1,wherever I want,by phone or conference call,I am the only meeting leader,8,5,chit-chat about non-business topics,3,4,4,4,5,0,0,0,0,0,0,5,5
2/17/2016 15:42:24,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,8,4,chit-chat about business topics,5,5,4,5,3,0,0,0,0,0,0,2,5
2/17/2016 15:58:01,male,1,offsite at client offices,in-person at my organization's office,There are no assigned meeting leaders,8,5,chit-chat about non-business topics,4,4,4,4,4,0,0,0,0,0,0,4,4
2/17/2016 15:58:17,male,1,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,2,chit-chat about non-business topics,1,3,3,2,3,0,0,0,0,0,0,3,4
2/17/2016 16:02:24,male,1,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,4,chit-chat about business topics,3,4,4,5,3,0,0,0,0,0,0,2,4
2/17/2016 16:33:39,male,3,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,4,chit-chat about business topics,4,2,2,4,3,0,0,0,0,0,0,2,4
2/17/2016 16:50:38,female,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,7,4,chit-chat about non-business topics,2,2,2,4,2,0,0,0,0,0,0,5,5
2/17/2016 17:20:17,male,2,onsite at my organization's office,in-person at my organization's office,I am the only meeting leader,6,3,chit-chat about non-business topics,3,5,4,4,3,0,0,0,0,0,0,1,4
2/17/2016 17:24:47,male,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,8,4,chit-chat about non-business topics,5,1,1,2,2,0,0,0,0,0,0,2,5
2/17/2016 17:29:45,male,2,at home,by phone or conference call,I am one of several meeting leaders,7,4,chit-chat about business topics,3,3,3,4,3,0,0,0,0,0,0,4,2
2/17/2016 17:50:37,female,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,4,chit-chat about non-business topics,3,4,4,4,3,0,0,0,0,0,0,6,4
2/17/2016 20:08:43,female,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,4,chit-chat about business topics,4,3,3,3,3,0,0,0,0,0,0,4,5
2/17/2016 20:35:47,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,6,5,chit-chat about non-business topics,4,4,3,4,3,0,0,0,0,0,0,3,4
2/17/2016 20:55:44,female,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,8,4,chit-chat about non-business topics,4,3,3,4,3,0,0,0,0,0,0,4,5
2/17/2016 21:07:31,female,2,wherever I want,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,6,4,chit-chat about non-business topics,5,5,4,4,4,0,0,0,0,0,0,6,4
2/17/2016 22:22:07,male,4,all over,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,6,4,chit-chat about non-business topics,4,5,4,2,4,0,0,0,0,0,0,8,1
2/17/2016 23:16:00,female,4,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,6,4,chit-chat about non-business topics,5,4,4,3,4,0,0,0,0,0,0,1,5
2/18/2016 1:52:48,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,6,4,chit-chat about non-business topics,4,4,3,2,3,0,0,0,0,0,0,4,5
2/18/2016 5:06:27,male,2,at home,by video,I am one of several meeting leaders,7,4,chit-chat about non-business topics,4,5,5,3,3,0,0,0,0,0,0,2,5
2/18/2016 6:50:38,male,1,onsite at my organization's office,by phone or conference call,I am not a meeting leader but I DO help set the agenda,6,3,sit silently and/or continue working individually,3,4,2,2,3,0,0,0,0,0,0,1,4
2/18/2016 7:22:36,male,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,5,chit-chat about business topics,4,4,4,4,4,0,0,0,0,0,0,5,4
2/18/2016 7:54:25,male,2,onsite at my organization's office,in-person at my organization's office,I am the only meeting leader,6,4,chit-chat about non-business topics,4,5,4,4,4,0,0,0,0,0,0,4,5
2/18/2016 8:11:47,female,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,7,4,chit-chat about business topics,3,5,4,2,3,0,0,0,0,0,0,4,2
2/18/2016 8:22:59,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,6,4,chit-chat about non-business topics,5,5,4,4,4,0,0,0,0,0,0,5,3
2/18/2016 9:25:16,female,1,onsite at my organization's office,in-person at my organization's office,I am the only meeting leader,6,5,chit-chat about non-business topics,4,4,3,4,4,0,0,0,0,0,0,3,5
2/18/2016 9:48:57,female,2,offsite at client offices,in-person at offsite offices,There are no assigned meeting leaders,8,5,sit silently and/or continue working individually,5,5,5,4,4,0,0,0,0,0,0,2,5
2/18/2016 10:18:49,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,6,3,chit-chat about non-business topics,4,4,4,4,3,0,0,0,0,0,0,4,4
2/18/2016 11:27:15,male,2,at home,by video,I am one of several meeting leaders,7,4,chit-chat about non-business topics,4,5,4,4,4,0,0,0,0,0,0,5,5
2/18/2016 11:54:08,male,3,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,6,4,chit-chat about business topics,4,4,4,4,4,0,0,0,0,0,0,4,4
2/18/2016 11:57:51,male,4,onsite at my organization's office,by phone or conference call,I am one of several meeting leaders,6,4,chit-chat about non-business topics,5,5,4,4,4,0,0,0,0,0,0,6,4
2/18/2016 15:42:49,female,3,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,7,5,A combo of the above,2,4,4,5,4,0,0,0,0,0,0,2,5
2/18/2016 21:34:02,male,3,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,6,4,chit-chat about non-business topics,3,3,3,4,3,0,0,0,0,0,0,2,4
